Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term
0,0.04,2,0.05,-0.00,0.05,0.0,0.5,0.5,0.5
1,10.04,2,0.05,-0.00,0.05,0.0,0.5,0.5,0.5
2,20.04,2,0.05,0.00,0.05,0.0,0.5,0.5,0.5
3,30.04,2,0.05,0.00,0.05,0.0,0.5,0.5,0.5
4,40.04,2,0.05,0.00,0.05,0.0,0.5,0.5,0.5
5,50.04,2,0.05,0.00,0.05,0.0,0.5,0.5,0.5
6,60.04,2,0.05,0.00,0.05,0.0,0.5,0.5,0.5
7,70.04,2,0.05,0.21,0.26,0.3,0.5,0.5,0.5
8,80.04,2,0.05,1.05,1.10,1.1,0.5,0.5,0.5
9,90.04,2,0.05,2.77,2.82,2.8,0.5,0.5,0.5
10,100.04,2,0.05,5.34,5.39,5.4,0.5,0.5,0.5
11,110.04,2,0.05,8.48,8.53,8.5,0.5,0.5,0.5
12,120.04,2,0.05,11.81,11.86,11.9,0.5,0.5,0.5
13,130.04,2,0.05,15.14,15.19,15.2,0.5,0.5,0.5
14,140.04,2,0.05,18.47,18.52,18.5,0.5,0.5,0.5
15,150.04,2,0.05,21.81,21.86,21.9,0.5,0.5,0.5
16,160.04,2,0.05,25.14,25.19,25.2,0.5,0.5,0.5
17,170.04,2,0.05,28.48,28.52,28.5,0.6,0.4,0.6
18,180.04,2,0.05,31.81,31.86,31.9,0.6,0.4,0.6
19,190.04,2,0.05,35.14,35.19,35.2,0.6,0.4,0.6
20,200.04,2,0.05,38.47,38.52,38.5,0.6,0.4,0.6
21,210.04,2,0.05,41.81,41.86,41.8,0.6,0.4,0.6
22,220.04,2,0.05,45.14,45.19,45.2,0.6,0.4,0.6
23,230.04,2,0.05,48.47,48.52,48.5,0.6,0.4,0.6
24,240.04,2,0.05,51.81,51.86,51.8,0.6,0.4,0.6
25,250.04,2,0.05,55.14,55.19,55.2,0.6,0.4,0.6
26,260.04,2,0.05,58.47,58.52,58.5,0.6,0.4,0.6
27,270.04,2,0.05,61.81,61.86,61.8,0.6,0.4,0.6
28,280.04,2,0.05,65.14,65.19,65.2,0.6,0.4,0.6
29,290.04,2,0.05,68.48,68.53,68.5,0.6,0.4,0.6
30,300.04,2,0.05,71.81,71.86,71.9,0.6,0.4,0.6
31,310.04,2,0.05,75.14,75.19,75.2,0.6,0.4,0.6
32,320.04,2,0.05,78.47,78.52,78.5,0.7,0.3,0.7
33,330.04,2,0.05,81.81,81.86,81.9,0.7,0.3,0.7
34,340.04,2,0.05,85.14,85.19,85.2,0.7,0.3,0.7
35,350.04,2,0.05,88.48,88.52,88.5,0.7,0.3,0.7
36,360.04,2,0.05,91.81,91.86,91.9,0.7,0.3,0.7
37,370.04,2,0.05,95.14,95.19,95.2,0.7,0.3,0.7
38,380.04,2,0.05,98.48,98.53,98.5,0.7,0.3,0.7
39,390.04,2,0.05,101.81,101.86,101.9,0.7,0.3,0.7
40,400.04,2,0.05,105.14,105.19,105.2,0.7,0.3,0.7
41,410.04,2,0.05,108.47,108.52,108.5,0.7,0.3,0.7
42,420.04,2,0.05,111.81,111.86,111.9,0.7,0.3,0.7
43,430.04,2,0.05,115.14,115.19,115.2,0.7,0.3,0.7
44,440.04,2,0.05,118.47,118.52,118.5,0.7,0.3,0.7
45,450.04,2,0.05,121.81,121.86,121.9,0.7,0.3,0.7
46,460.04,2,0.05,125.14,125.19,125.2,0.7,0.3,0.7
47,470.04,2,0.05,128.47,128.52,128.5,0.8,0.2,0.8
48,480.04,2,0.05,131.81,131.86,131.9,0.8,0.2,0.8
49,490.04,2,0.05,135.14,135.19,135.2,0.8,0.2,0.8
50,500.04,2,0.05,138.47,138.52,138.5,0.8,0.2,0.8
51,510.04,2,0.05,141.81,141.86,141.9,0.8,0.2,0.8
52,520.04,2,0.05,145.14,145.19,145.2,0.8,0.2,0.8
53,530.04,2,0.05,148.47,148.52,148.5,0.8,0.2,0.8
54,540.04,2,0.05,151.81,151.86,151.9,0.8,0.2,0.8
55,550.04,2,0.05,155.14,155.19,155.2,0.8,0.2,0.8
56,560.04,2,0.05,158.48,158.52,158.5,0.8,0.2,0.8
57,570.04,2,0.05,161.81,161.86,161.9,0.8,0.2,0.8
58,580.04,2,0.05,165.14,165.19,165.2,0.8,0.2,0.8
59,590.04,2,0.05,168.47,168.52,168.5,0.8,0.2,0.8
60,600.04,2,0.05,171.81,171.86,171.9,0.8,0.2,0.8
61,610.04,2,0.05,175.14,175.19,175.2,0.8,0.2,0.8
62,620.04,2,0.05,178.47,178.52,178.5,0.8,0.2,0.8
63,630.04,2,0.05,181.81,181.86,181.9,0.9,0.1,0.9
64,640.04,2,0.05,185.14,185.19,185.2,0.9,0.1,0.9
65,650.04,2,0.05,188.47,188.52,188.5,0.9,0.1,0.9
66,660.04,2,0.05,191.81,191.86,191.9,0.9,0.1,0.9
67,670.04,2,0.05,195.14,195.19,195.2,0.9,0.1,0.9
68,680.04,2,0.05,198.47,198.52,198.5,0.9,0.1,0.9
69,690.04,2,0.05,201.81,201.86,201.9,0.9,0.1,0.9
70,700.04,2,0.05,205.14,205.19,205.2,0.9,0.1,0.9
71,710.04,2,0.05,208.48,208.52,208.5,0.9,0.1,0.9
72,720.04,2,0.05,211.81,211.86,211.9,0.9,0.1,0.9
73,730.04,2,0.05,215.14,215.19,215.2,0.9,0.1,0.9
74,740.04,2,0.05,218.48,218.52,218.5,0.9,0.1,0.9
75,750.04,2,0.05,221.81,221.86,221.9,0.9,0.1,0.9
76,760.04,2,0.05,225.14,225.19,225.2,0.9,0.1,0.9
77,770.04,2,0.05,228.47,228.52,228.5,0.9,0.1,0.9
78,780.04,2,0.05,231.81,231.86,231.9,1.0,0.0,1.0
79,790.04,2,0.05,235.14,235.19,235.2,1.0,0.0,1.0
80,800.04,2,0.05,238.47,238.52,238.5,1.0,0.0,1.0
81,810.04,2,0.05,241.81,241.86,241.9,1.0,0.0,1.0
82,820.04,2,0.05,245.14,245.19,245.2,1.0,0.0,1.0
83,830.04,2,0.05,248.47,248.52,248.5,1.0,0.0,1.0
