Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,Coil A Current,Coil B Current
0,0.06,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
1,1.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
2,2.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
3,3.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
4,4.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
5,5.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
6,6.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
7,7.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
8,8.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
9,9.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
10,10.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
11,11.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
12,12.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
13,13.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
14,14.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
15,15.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
16,16.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
17,17.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
18,18.06,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
19,19.10,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
20,20.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
21,21.10,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
22,22.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
23,23.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
24,24.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
25,25.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
26,26.06,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
27,27.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
28,28.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
29,29.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
30,30.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
31,31.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
32,32.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
33,33.10,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
34,34.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
35,35.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
36,36.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
37,37.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
38,38.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
39,39.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
40,40.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
41,41.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
42,42.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
43,43.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
44,44.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
45,45.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
46,46.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
47,47.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
48,48.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
49,49.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
50,50.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
51,51.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
52,52.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
53,53.09,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
54,54.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
55,55.10,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
56,56.05,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
57,57.10,-6,-6.00,0.00,6.00,3.0,0.5,0.5,0.5,4077,12
